PUBCHEM_CID,fit_max,fit_hill,fit_ec50,fit_min,fit_RMSE,fit_R2,max_signal
829764,64.84482579084077,1.3117391270001886,15.854105052574107,4.828951436796678,2.5972254759060145,0.9786659376709442,60.05
939236,35.827454210946584,11.062538283331794,26.795919791365584,3.1831925329511064,3.298830595007835,0.9081629130283324,35.8
1350609,38.01157742182079,4.204604561057666,9.998051558452158,7.6099265334562425,1.1947664708699612,0.9913608283104857,38.9507
2118097,41.476852872846905,1.2803876311195561,20.01404822938748,4.162789538638976,1.4522054276916554,0.9803219383116684,37.35
2301472,70.10248834398038,1.7370743150299373,6.945569387882085,4.729370968888064,3.802924148747354,0.9757335690367535,73.4
2338527,58.8563085881464,1.7255422480203129,6.942851448817881,4.075683312943588,2.6567196091395475,0.9829641016606071,60.75
2790671,43.954540125289256,2.2266028720370525,1.8640770415546082,8.288025996935817,2.863640895837696,0.9660523930472078,44.0
2795856,3.345600233194165,-0.6004780337086177,632.9847998513699,41.67445587848742,1.0537367931005757,0.8601707939849929,12.95
2939678,39.35965560305667,1.1685851813765575,2.935099835335711,1.9961791154550916,1.329518612030008,0.9905413623422281,39.7
4094710,104.33010789952648,1.1361258334221562,2.8331035633320014,9.91848527391126,2.7186063301560317,0.9935428519403642,103.645
5310645,173.05118703006056,0.877572318529384,176.53885522167735,2.397338968040419,3.4613662219871664,0.9640691164464528,66.95
9795907,60.41113809566277,2.339596148895904,6.340422080843893,4.842572572427917,0.8234994146185148,0.9987161581398787,60.4601
25181366,161.0777615548843,0.4688588919281046,241.81507906823066,-1.3565528149230772,1.1705706767837112,0.9948445831469713,53.6
25181383,50.76388470943297,1.4811420856386128,5.269015394863815,-5.25426812765802,2.749696949128921,0.9834754553092505,52.4087
135491645,23.63983072741824,2.447936517971656,3.9877072402711238,5.643559453719477,1.6992002199167302,0.9529240765601992,23.75
