molid,vendors
ZINC000254487630,https://mcule.com/MCULE-4212108550/
ZINC000254487629,https://mcule.com/MCULE-4212108550/
ZINC000254449108,https://mcule.com/MCULE-3551211530/
ZINC000254449101,https://mcule.com/MCULE-3551211530/
ZINC000254382478,https://mcule.com/MCULE-2275535191/
ZINC000254382475,https://mcule.com/MCULE-2275535191/
ZINC000016115038,http://www.hit2lead.com/screening-compounds/6647379|http://www.ambinter.com/reference/Amb19532025|http://www.vitasmlab.biz/search/STL383647|https://www.molport.com/shop/molecule-link/MolPort-002-214-914|https://orderbb.emolecules.com/search/#?query=25924787
ZINC000006974368,http://www.hit2lead.com/screening-compounds/6658069|http://www.ambinter.com/reference/Amb19532206|http://www.vitasmlab.biz/search/STL383641|https://www.molport.com/shop/molecule-link/MolPort-002-215-567|https://orderbb.emolecules.com/search/#?query=25925537|https://labnetwork.com/frontend-app/p/#!/moleculedetails/LN01010802
ZINC000008671124,http://www.hit2lead.com/screening-compounds/6658069|http://www.ambinter.com/reference/Amb19532206|http://www.vitasmlab.biz/search/STL383641|https://www.molport.com/shop/molecule-link/MolPort-002-215-567|https://orderbb.emolecules.com/search/#?query=25925537
ZINC000016115676,http://www.hit2lead.com/screening-compounds/6681744|http://www.ambinter.com/reference/Amb19532550|http://www.vitasmlab.biz/search/STL383648|https://www.molport.com/shop/molecule-link/MolPort-002-216-796|https://orderbb.emolecules.com/search/#?query=25926865|https://labnetwork.com/frontend-app/p/#!/moleculedetails/LN03111176
