PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Potency_1558,Efficacy_1558,Fit_HillSlope_1558,Fit_R2_1558,Fit_InfiniteActivity_1558,Fit_ZeroActivity_1558,Fit_CurveClass_1558,Max_Response_1558,rank_1558,Potency_1559,Efficacy_1559,Fit_HillSlope_1559,Fit_R2_1559,Fit_InfiniteActivity_1559,Fit_ZeroActivity_1559,Fit_CurveClass_1559,Max_Response_1559,rank_1559,quencher,rank_1558_1559
686852,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)F,5.0119,84.6227,1.1,0.9717,-89.9172,-5.2944,-1.1,-81.8256,33,3.5481,39.2565,2.1876,0.9954,-36.2565,3,-1.2,-35.9979,28,1,61
25181378,C1=CC=C(C=C1)CNC(=O)C2=NN(C(=O)C3=C(SC=C32)N)C4=CC=CC=C4,7.0795,86.0989,1.4641,0.984,-91.6121,-5.5132,-1.1,-82.8941,30,7.0795,35.1653,1.8851,0.974,-37.0915,-1.9262,-1.2,-34.2429,33,1,63
753455,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)Cl,2.2387,65.376,1.331,0.9556,-76.5215,-11.1454,-1.1,-81.5076,34,3.5481,34.5177,2.9523,0.9793,-32.0177,2.5,-1.2,-35.848,29,1,63
2877277,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=C(C=C3)O.Br,15.8489,94.44,1.1,0.9521,-102.12,-7.68,-1.1,-88.4,26,50.1187,52.755,1.8265,0.9064,-57.825,-5.07,-2.2,-26.1,47,1,73
2976659,C1COCCN1C2=C(C=C(C=C2)C(=O)NC3=CC=C(C=C3)C4=NC5=CC=CC=C5O4)[N+](=O)[O-],1.122,55.4392,1.9282,0.9834,-75.7114,-20.2722,-1.2,-79.9769,39,0.7079,21.4857,3.0654,0.7806,-30.9945,-9.5087,-1.4,-19.8098,42,1,81
1557889,C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=S)S2)NC(=O)C3=CC(=CC=C3)O,5.0119,85.29,0.9,0.877,-85.3,-0.01,-1.3,-80.1,55,17.7828,36.32,1.1,0.9251,-39.32,-3,-1.2,-36.1,27,1,82
3032310,C1C2=CC=CC=C2NC1=S,0.631,26.8003,3.5117,0.9304,-96.1008,-69.3005,-1.1,-95.6917,6,,,,,,,-10.0,-9.539,93,1,99
2902308,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC(=CC=C3)[N+](=O)[O-],3.5481,64.645,1.6259,0.9292,-57.145,7.5,-1.2,-61.2,44,39.8107,20.02,4.9549,0.9455,-22.02,-2,-2.4,-21.4,57,1,101
753627,COC1=CC=CC(=C1O)CNC2=CC=CC3=C2N=CC=C3,28.1838,54.66,1.4641,0.8419,-59.2,-4.54,-1.4,-51.6,59,63.0957,25.66,0.9,0.8908,-27.16,-1.5,-2.4,-19.3,59,1,118
890662,C1=CC=C(C(=C1)CNC2=CC=CC3=C2N=CC=C3)O,39.8107,128.44,1.2876,0.9709,-123.81,4.6305,-2.1,-92.3,70,50.1187,33.02,1.4163,0.9759,-36.8,-3.78,-2.4,-27.2,50,1,120
2288678,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC(=C3)C(F)(F)F,0.8913,64.6216,0.9,0.9695,-71.7973,-7.1757,-1.2,-72.2719,41,,,,,,,-10.0,-12.6783,87,1,128
2877257,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=C(C=C3)OC.Br,50.1187,104.76,0.9,0.7281,-114.04,-9.28,-2.3,-78.6,74,50.1187,31.72,0.9,0.712,-31.72,0,-2.4,-23.1,54,1,128
4094710,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F,35.4813,65.9403,2.2526,0.9184,69.4034,3.4631,-10.0,54.8687,137,2.8184,95.5151,1.1,0.9935,-104.777,-9.2623,-1.1,-103.645,0,1,137
970535,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC=C(C=C2)OC(F)(F)F,28.1838,37.3,0.8,0.7376,-50.36,-13.06,-2.4,-33.0,80,39.8107,47.6,0.8,0.8015,-49.96,-2.36,-2.4,-12.3,70,1,150
841172,CCN1C(=CC=N1)C(=O)NC2=CC(=CC(=C2)Cl)Cl,,,,,,,-10.0,-12.0,97,35.4813,12.92,3.132,0.9287,-17.88,-4.96,-2.4,-17.4,63,1,160
135517108,CC(C)CN1C(=C(SC1=S)/C=C/2\C=NN=C2C3=CC=CC=C3)O,,,,,,,-10.0,-10.3,106,1.122,14.98,2.3332,0.6816,-16.48,-1.5,-2.4,-12.4,69,1,175
16219029,C1=CC=C2C(=C1)C=CC(=N2)C3=CC=C(C=C3)N.Cl,31.6228,61.445,1.2221,0.738,-58.03,3.415,-1.4,-44.9,61,,,,,,,-10.0,-3.6,115,1,176
3842739,CN1C(=O)C=C(N1)CSC2=CC=C(C=C2)Cl,1.122,34.47,1.331,0.7888,-39.29,-4.82,-1.4,-48.2,60,,,,,,,-10.0,-0.9,127,1,187
135465963,CC(=O)NC1=CC=C(C=C1)C2=NNC(=NC3=CC=C(C=C3)S(=O)(=O)N4CCOCC4)SC2,2.5119,33.8676,0.6,0.788,-34.6765,-0.8088,-1.4,-26.2921,67,0.8913,36,0.6,0.9043,33.5,-2.5,-10.0,32.2841,137,1,204
1489523,CC1=CC=C(C=C1)SCC2=CC(=O)N(N2)C,14.1254,50.8,0.2,0.3799,-48.12,2.68,-2.4,-26.5,83,,,,,,,-10.0,-2.5,122,1,205
25181370,CN1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,39.8107,45.1392,2.7202,0.9337,-48.1392,-3,-2.2,-36.7826,72,,,,,,,-10.0,22.9794,136,1,208
