alignment	dist	ecfp4	daylight		mces
NNC(=O)c1nn(-c2ccccc2)c(=O)c3c(N)scc13 ZINC000000119691	1	0.7254901960784313	0.9382716049382716		22
Cc1ccc(-n2nc(C(=O)NN)c3csc(N)c3c2=O)cc1 ZINC000005546452	2	0.5689655172413793	0.9156626506024096		22
NNC(=O)c1nn(-c2ccc(Br)cc2)c(=O)c3c(N)scc13 ZINC000005896392	2	0.5689655172413793	0.8976377952755905		22
NNC(=O)c1nn(-c2ccc(Cl)cc2)c(=O)c3c(N)scc13 ZINC000116336589	2	0.5689655172413793	0.9047619047619048		22
CCOC(=O)c1nn(-c2ccccc2)c(=O)c3c(N)scc13 ZINC000000563211	3	0.6727272727272727	0.8007518796992481		22
COC(=O)c1nn(-c2ccccc2)c(=O)c3c(N)sc(C)c13 ZINC000000155494	3	0.45901639344262296	0.7802197802197802		22
NC(=O)CCN(C(=O)c1ccsc1)c2ccccc2 ZINC000073081233	4	0.296875	0.3386454183266932		20
Cc1sccc1C(=O)N(CCC(N)=O)c2ccccc2 ZINC001434848366	4	0.2835820895522388	0.3590733590733591		21
NC(=O)CCN(C(=O)c1ccsc1Br)c2ccccc2 ZINC001124533811	4	0.2835820895522388	0.3271375464684015		21
NC(=O)CCN(C(=O)c1ccsc1Cl)c2ccccc2 ZINC001413976822	4	0.2835820895522388	0.3409090909090909		21
NC(=O)c1nn(-c2ccccc2)c(=O)c3ccccc13 ZINC000002508380	4	0.3888888888888889	0.5612648221343873		21
NC(=O)CCN(C(=O)c1ccoc1)c2ccccc2 ZINC000073026293	5	0.25757575757575757	0.22426470588235295		20
NC(=S)CCN(C(=O)c1ccsc1)c2ccccc2 ZINC000019510152	5	0.2878787878787879	0.32941176470588235		20
O=C(O)c1nn(-c2ccccc2)c(=O)c3ncccc13 ZINC000095934292	5	0.24242424242424243	0.4533762057877814		21
Cc1sccc1C(=O)N2CCC(=O)Nc3ccccc32 ZINC001456230468	5	0.1891891891891892	0.3563636363636364		21
O=C1CCN(C(=O)c2ccsc2Br)c3ccccc3N1 ZINC001537803191	5	0.1891891891891892	0.3274647887323944		21
O=C1CCN(C(=O)c2ccsc2Cl)c3ccccc3N1 ZINC001537804013	5	0.1891891891891892	0.3392857142857143		21
NC(=O)CCN(C(=O)c1cc[nH]c1)c2ccccc2 ZINC000068331376	5	0.25757575757575757	0.22545454545454546		20
NC(=O)CCN(C(=O)c1ccsn1)c2ccccc2 ZINC001411910048	5	0.2923076923076923	0.2508833922261484		20
NC(=O)CCN(C(=O)c1cscn1)c2ccccc2 ZINC000102980230	5	0.3125	0.24028268551236748		20
O=C(O)CCN(C(=O)c1ccsc1)c2ccccc2 ZINC000037583510	5	0.25757575757575757	0.3333333333333333		20
Cc1cc(C(=O)N(CCC(N)=O)c2ccccc2)c(Br)s1 ZINC000471154022	5	0.2535211267605634	0.33214285714285713		21
NC(=O)CCN(C(=O)c1cc(Br)sc1Br)c2ccccc2 ZINC000522576823	5	0.2608695652173913	0.3285198555956679		21
NC(=O)CCN(C(=O)c1cc(Cl)sc1Cl)c2ccccc2 ZINC000132751403	5	0.2608695652173913	0.3382352941176471		21
Cc1cccc(N(CCC(N)=O)C(=O)c2ccsc2Br)c1 ZINC001352289493	5	0.24324324324324326	0.32014388489208634		21
Cc1cccc(N(CCC(N)=O)C(=O)c2ccsc2C)c1 ZINC000294474130	5	0.2465753424657534	0.352059925093633		21
Cc1cccc(N(CCC(N)=O)C(=O)c2ccsc2Cl)c1 ZINC001264901607	5	0.24324324324324326	0.3333333333333333		21
Cc1occc1C(=O)N(CCC(N)=O)c2ccccc2 ZINC000073081236	5	0.2463768115942029	0.24820143884892087		21
NC(=O)CCN(C(=O)c1ccoc1Br)c2ccccc2 ZINC000194545486	5	0.2463768115942029	0.2206896551724138		21
NC(=O)CCN(C(=O)c1ccoc1Cl)c2ccccc2 ZINC000192261808	5	0.2463768115942029	0.23508771929824562		21
NC(=S)CCN(C(=O)c1ccsc1Br)c2ccccc2 ZINC000705184661	5	0.2753623188405797	0.31868131868131866		21
CC(=O)c1cc(C(=O)O)c(=O)n(-c2ccccc2)n1 ZINC000225965790	5	0.3442622950819672	0.26384364820846906		20
Cc1[nH]ccc1C(=O)N(CCC(N)=O)c2ccccc2 ZINC000176032658	5	0.2463768115942029	0.23157894736842105		21
NC(=O)CCN(C(=O)c1ncsc1Br)c2ccccc2 ZINC000520277723	5	0.29850746268656714	0.23666666666666666		21
O=C(O)CCN(C(=O)c1ccsc1Br)c2ccccc2 ZINC000698582349	5	0.2463768115942029	0.32234432234432236		21
O=C(O)c1nn(-c2ccccc2)c(=O)c3ccccc13 ZINC000000215217	5	0.2711864406779661	0.5057034220532319		21
Cc1cc(=O)c(-c2csc(N)n2)nn1-c3ccccc3 ZINC000082412724	5	0.38095238095238093	0.3434650455927052		21
O=C(O)c1cn(-c2ccccc2)c(=O)c3ccoc13 ZINC000211334124	5	0.24242424242424243	0.27844311377245506		21
CC(=O)c1nn(-c2ccccc2)c(=O)c(C#N)c1C ZINC000019878310	6	0.3442622950819672	0.26644736842105265		20
Cc1c(C(=O)O)nn(-c2ccccc2)c(=O)c1C#N ZINC000000563210	6	0.3333333333333333	0.27419354838709675		20
NC(=S)CCN(C(=O)c1ccoc1)c2ccccc2 ZINC000019442330	6	0.25	0.22262773722627738		20
Cc1sccc1C(=O)N(CCCN)c2ccccc2 ZINC002095661646	6	0.26865671641791045	0.35294117647058826		20
NCCCN(C(=O)c1ccsc1Br)c2ccccc2 ZINC000703992757	6	0.26865671641791045	0.32075471698113206		20
Cc1occc1C(=O)N2CCC(=O)Nc3ccccc32 ZINC000096411578	6	0.15789473684210525	0.2525597269624573		21
O=C1CCN(C(=O)c2ccoc2Br)c3ccccc3N1 ZINC000194718706	6	0.15789473684210525	0.22697368421052633		21
O=C1CCN(C(=O)c2ccoc2Cl)c3ccccc3N1 ZINC000192313461	6	0.15789473684210525	0.24		21
NC(=O)CCN(C(=O)c1ccon1)c2ccccc2 ZINC000338589756	6	0.2727272727272727	0.23591549295774647		20
NC(=O)CCN(C(=O)c1cocn1)c2ccccc2 ZINC001318530851	6	0.2727272727272727	0.19932432432432431		20
NC(=S)CCN(C(=O)c1ccsn1)c2ccccc2 ZINC000705434623	6	0.2835820895522388	0.24912280701754386		20
NC(=S)CCN(C(=O)c1cnsc1)c2ccccc2 ZINC000687185879	6	0.30303030303030304	0.22695035460992907		20
NC(=S)CCN(C(=O)c1cscn1)c2ccccc2 ZINC000062357401	6	0.30303030303030304	0.23344947735191637		20
O=C(O)CCN(C(=O)c1ccoc1)c2ccccc2 ZINC000037583513	6	0.22058823529411764	0.21660649819494585		20
CCc1occc1C(=O)N(CCC(N)=O)c2ccccc2 ZINC000280471778	6	0.23943661971830985	0.27208480565371024		21
Cc1cc(C(=O)N(CCC(N)=O)c2ccccc2)c(C)o1 ZINC000073081004	6	0.24285714285714285	0.256140350877193		21
Cc1oc(Br)cc1C(=O)N(CCC(N)=O)c2ccccc2 ZINC001351585219	6	0.2361111111111111	0.2534246575342466		21
