alignment	dist	ecfp4	daylight		mces
COC(=O)c1c(NC(=O)CCCOc2cccc(C)c2)sc3c1[C@@H](C(=O)OC)CC3 ZINC000001773770	0	1.0	1.0		32
COC(=O)c1c(NC(=O)CCCOc2cccc(C)c2)sc3c1[C@H](C(=O)OC)CC3 ZINC000001773769	0	1.0	1.0		32
COC(=O)c1c(NC(=O)CCCOc2ccccc2)sc3c1[C@@H](C(=O)OC)CC3 ZINC000004039896	1	0.859375	0.9801980198019802		31
COC(=O)c1c(NC(=O)CCCOc2ccccc2)sc3c1[C@H](C(=O)OC)CC3 ZINC000001779473	1	0.859375	0.9801980198019802		31
COC(=O)c1c(NC(=O)CCCOc2cccc(C)c2C)sc3c1[C@@H](C(=O)OC)CC3 ZINC000040912489	1	0.7746478873239436	0.9869706840390879		32
COC(=O)c1c(NC(=O)CCCOc2cccc(C)c2C)sc3c1[C@H](C(=O)OC)CC3 ZINC000040912490	1	0.7746478873239436	0.9869706840390879		32
COC(=O)c1c(NC(=O)CCCOc2ccc(Cl)c(C)c2)sc3c1[C@@H](C(=O)OC)CC3 ZINC000040912762	1	0.7534246575342466	0.9774193548387097		32
COC(=O)c1c(NC(=O)CCCOc2ccc(Cl)c(C)c2)sc3c1[C@H](C(=O)OC)CC3 ZINC000040912763	1	0.7534246575342466	0.9774193548387097		32
COC(=O)c1c(NC(=O)CCCOc2cc(C)ccc2C)sc3c1[C@@H](C(=O)OC)CC3 ZINC000040865008	1	0.8	0.9901960784313726		32
COC(=O)c1c(NC(=O)CCCOc2cc(C)ccc2C)sc3c1[C@H](C(=O)OC)CC3 ZINC000040865011	1	0.8	0.9901960784313726		32
COC(=O)c1c(NC(=O)CCCOc2ccc(C)cc2)sc3c1[C@@H](C(=O)OC)CC3 ZINC000001773381	2	0.8333333333333334	0.9705882352941176		31
COC(=O)c1c(NC(=O)CCCOc2ccc(C)cc2)sc3c1[C@H](C(=O)OC)CC3 ZINC000001773380	2	0.8333333333333334	0.9705882352941176		31
COC(=O)c1c(NC(=O)CCCOc2ccc(Cl)cc2)sc3c1[C@@H](C(=O)OC)CC3 ZINC000001773640	2	0.7428571428571429	0.9580645161290322		31
COC(=O)c1c(NC(=O)CCCOc2ccc(Cl)cc2)sc3c1[C@H](C(=O)OC)CC3 ZINC000006162310	2	0.7428571428571429	0.9580645161290322		31
COC(=O)c1c(NC(=O)CCCOc2ccccc2C)sc3c1[C@@H](C(=O)OC)CC3 ZINC000001772515	2	0.7323943661971831	0.9705882352941176		31
COC(=O)c1c(NC(=O)CCCOc2ccccc2C)sc3c1[C@H](C(=O)OC)CC3 ZINC000001772514	2	0.7323943661971831	0.9705882352941176		31
COC(=O)c1c(NC(=O)CCCOc2cc(C)c(Cl)c(C)c2)sc3c1[C@@H](C(=O)OC)CC3 ZINC000040912636	2	0.7361111111111112	0.9742765273311897		32
COC(=O)c1c(NC(=O)CCCOc2cc(C)c(Cl)c(C)c2)sc3c1[C@H](C(=O)OC)CC3 ZINC000040912637	2	0.7361111111111112	0.9742765273311897		32
COC(=O)c1c(NC(=O)COc2cccc(C)c2)sc3c1[C@@H](C(=O)OC)CC3 ZINC000004038581	2	0.8333333333333334	0.8445121951219512		30
COC(=O)c1c(NC(=O)COc2cccc(C)c2)sc3c1[C@H](C(=O)OC)CC3 ZINC000004038584	2	0.8333333333333334	0.8445121951219512		30
CCc1ccc(OCCCC(=O)Nc2sc3c(c2C(=O)OC)[C@@H](C(=O)OC)CC3)cc1 ZINC000040858804	3	0.7323943661971831	0.9580645161290322		31
CCc1ccc(OCCCC(=O)Nc2sc3c(c2C(=O)OC)[C@H](C(=O)OC)CC3)cc1 ZINC000040858806	3	0.7323943661971831	0.9580645161290322		31
COC(=O)c1c(NC(=O)CCCOc2ccc(OC)cc2)sc3c1[C@@H](C(=O)OC)CC3 ZINC000001778252	3	0.7647058823529411	0.9769736842105263		31
