alignment	dist	ecfp4	daylight		mces
COc1cc([N+](=O)[O-])ccc1-c2ccc(\C=N\N=C3/NC(=O)[C@H](CC(=O)O)S3)o2 ZINC000033498002	6	0.7037037037037037	0.7824561403508772		29
O=C(O)CN1C(=O)S\C(=C\c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)C1=O ZINC000038155507	6	0.5057471264367817	0.42329545454545453		28
O=C(O)C[C@@H]1C(=O)NCCN1Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2 ZINC001601941212	7	0.5287356321839081	0.46601941747572817		28
O=C(O)C[C@H]1C(=O)NCCN1Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2 ZINC001601941208	7	0.5287356321839081	0.46601941747572817		28
O=C1N=C(NN=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)NC1=O ZINC000765592677	7	0.375	0.4483870967741935		26
O=C(O)Cc1ccc(NN=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)cc1 ZINC001776084125	7	0.4418604651162791	0.47079037800687284		28
O=C(O)CN1C(=O)\C(=C/c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)SC1=S ZINC000012273975	7	0.4943820224719101	0.4117647058823529		28
O=C(O)CN1C(=O)\C(=C\c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)SC1=S ZINC000013678258	7	0.4943820224719101	0.4117647058823529		28
CCCCNC(=O)NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1 ZINC001324311770	8	0.4827586206896552	0.5123674911660777		26
C[C@@H]1CN=C(NN=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)N1 ZINC001337430791	8	0.4883720930232558	0.48986486486486486		26
C[C@H]1CN=C(NN=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)N1 ZINC001337430792	8	0.4883720930232558	0.48986486486486486		26
O=C1N=C(NN=Cc2ccc(-c3ccccc3[N+](=O)[O-])s2)NC1=O ZINC000765595447	8	0.24742268041237114	0.2824858757062147		26
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(C=NNc3nc4ccccc4s3)o2 ZINC000254310805	8	0.49411764705882355	0.45317220543806647		29
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(\C=N/Nc3nc4ccccc4s3)o2 ZINC000098035222	8	0.49411764705882355	0.45317220543806647		29
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(\C=N\Nc3nc4ccccc4s3)o2 ZINC000005705092	8	0.49411764705882355	0.45317220543806647		29
Cc1nc(CNCc2ccc(-c3ccccc3[N+](=O)[O-])o2)sc1C(=O)O ZINC000426684258	8	0.32989690721649484	0.3839541547277937		28
COCCCNC(=S)NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1 ZINC001317698086	8	0.45555555555555555	0.49158249158249157		27
O=C(O)c1ccc(NN=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)cn1 ZINC001776069205	8	0.48863636363636365	0.471875		28
COCCCNC(=O)NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1 ZINC001317992606	8	0.4772727272727273	0.5051546391752577		27
O=C(O)Cc1ccc(NN=Cc2ccc(-c3ccccc3[N+](=O)[O-])s2)cc1 ZINC001776083874	8	0.30526315789473685	0.2921686746987952		28
CN(C)CCCNC(=S)NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1 ZINC001327494779	8	0.44565217391304346	0.48135593220338985		28
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(C=NNC3=N[C@@H]4CCCC[C@@H]4N3)o2 ZINC001253590663	8	0.4772727272727273	0.4716981132075472		29
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(C=NNC3=N[C@@H]4CCCC[C@H]4N3)o2 ZINC001253590667	8	0.4772727272727273	0.4716981132075472		29
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(C=NNC3=N[C@H]4CCCC[C@@H]4N3)o2 ZINC001253590664	8	0.4772727272727273	0.4716981132075472		29
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(C=NNc3nc4ccccc4[nH]3)o2 ZINC000254304882	8	0.46511627906976744	0.4865771812080537		29
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(\C=N/Nc3nc4ccccc4[nH]3)o2 ZINC000016525088	8	0.46511627906976744	0.4865771812080537		29
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(\C=N\Nc3nc4ccccc4[nH]3)o2 ZINC000006651517	8	0.46511627906976744	0.4865771812080537		29
O=C(O)Cc1csc(CNCc2ccc(-c3ccccc3[N+](=O)[O-])o2)n1 ZINC001777652068	8	0.3763440860215054	0.3855072463768116		28
O=[N+]([O-])c1ccccc1-c2ccc(C=NN=c3[nH]c4ccccc4[nH]3)o2 ZINC000254295909	8	0.4375	0.5342960288808665		28
COc1ccc(-c2ccc(C=NNc3ccc(CC(=O)O)cc3)o2)c([N+](=O)[O-])c1 ZINC001776083400	8	0.43956043956043955	0.4440894568690096		29
O=C(O)c1cc(NN=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)ccc1Cl ZINC000745986277	8	0.4	0.48464163822525597		28
O=C(O)c1cc(NN=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)ccc1F ZINC001776061745	8	0.3695652173913043	0.45514950166112955		28
Cn1ccc(NN=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)n1 ZINC001326241470	8	0.45977011494252873	0.49337748344370863		26
O=C(O)Cn1cc(NCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)cn1 ZINC001595147419	8	0.48314606741573035	0.42105263157894735		28
Cc1ccc(-c2ccc(C=NNc3ccc(Cl)c(C(=O)O)c3)o2)c([N+](=O)[O-])c1 ZINC000254381329	8	0.40860215053763443	0.4798657718120805		29
Cc1ccc(-c2ccc(\C=N\Nc3ccc(Cl)c(C(=O)O)c3)o2)c([N+](=O)[O-])c1 ZINC000005061290	8	0.40860215053763443	0.4798657718120805		29
