PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Potency_1558,Efficacy_1558,Fit_CurveClass_1558,Max_Response_1558,rank_1558,Potency_1559,Efficacy_1559,Fit_CurveClass_1559,Max_Response_1559,rank_1559,quencher,rank_1558_1559,CLSZ_0.4,CLID_0.4,Lipinski #violations,PAINS #alerts,BBB permeant
2877277,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=C(C=C3)O.Br,15.8489,94.44,-1.1,-88.4,26,50.1187,52.755,-2.2,-26.1,47,1,73,,,,,
2976659,C1COCCN1C2=C(C=C(C=C2)C(=O)NC3=CC=C(C=C3)C4=NC5=CC=CC=C5O4)[N+](=O)[O-],1.122,55.4392,-1.2,-79.9769,39,0.7079,21.4857,-1.4,-19.8098,42,1,81,,,,,
1557889,C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=S)S2)NC(=O)C3=CC(=CC=C3)O,5.0119,85.29,-1.3,-80.1,55,17.7828,36.32,-1.2,-36.1,27,1,82,,,,,
3032310,C1C2=CC=CC=C2NC1=S,0.631,26.8003,-1.1,-95.6917,6,,,-10.0,-9.539,93,1,99,,,,,
2902308,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC(=CC=C3)[N+](=O)[O-],3.5481,64.645,-1.2,-61.2,44,39.8107,20.02,-2.4,-21.4,57,1,101,,,,,
753627,COC1=CC=CC(=C1O)CNC2=CC=CC3=C2N=CC=C3,28.1838,54.66,-1.4,-51.6,59,63.0957,25.66,-2.4,-19.3,59,1,118,,,,,
890662,C1=CC=C(C(=C1)CNC2=CC=CC3=C2N=CC=C3)O,39.8107,128.44,-2.1,-92.3,70,50.1187,33.02,-2.4,-27.2,50,1,120,,,,,
2288678,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC(=C3)C(F)(F)F,0.8913,64.6216,-1.2,-72.2719,41,,,-10.0,-12.6783,87,1,128,,,,,
2877257,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=C(C=C3)OC.Br,50.1187,104.76,-2.3,-78.6,74,50.1187,31.72,-2.4,-23.1,54,1,128,,,,,
4094710,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F,35.4813,65.9403,-10.0,54.8687,137,2.8184,95.5151,-1.1,-103.645,0,1,137,,,,,
970535,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC=C(C=C2)OC(F)(F)F,28.1838,37.3,-2.4,-33.0,80,39.8107,47.6,-2.4,-12.3,70,1,150,,,,,
841172,CCN1C(=CC=N1)C(=O)NC2=CC(=CC(=C2)Cl)Cl,,,-10.0,-12.0,97,35.4813,12.92,-2.4,-17.4,63,1,160,,,,,
135517108,CC(C)CN1C(=C(SC1=S)/C=C/2\C=NN=C2C3=CC=CC=C3)O,,,-10.0,-10.3,106,1.122,14.98,-2.4,-12.4,69,1,175,,,,,
