PUBCHEM_CID,Max_Response_1460,Fit_CurveClass_1460,Potency_1460,Max_Response_1468,Fit_CurveClass_1468,Potency_1468,Max_Response_1463,Fit_CurveClass_1463,Potency_1463,mean_curve_class,mean_max_response
3247229,-43.328,-1.2,3.1623,-37.4839,-2.2,17.7828,-8.1342,4,NA,-1.7000000000000002,-40.405950000000004
15990492,-43.8456,-1.2,3.9811,-27.1124,-2.2,35.4813,-22.0376,4,NA,-1.7000000000000002,-35.479
16014341,-40.1666,-1.2,3.1623,-29.4745,-2.2,39.8107,-16.3376,4,NA,-1.7000000000000002,-34.82055
62770,-97.4197,-2.1,3.9811,-112.501,-2.1,25.1189,-10.0248,4,NA,-2.1,-104.96035
15474019,-86.4659,-2.1,2.5119,-52.3888,-2.2,1.7783,-10.9791,4,NA,-2.1500000000000004,-69.42735
16240588,-78.4825,-2.2,3.9811,-48.4471,-2.2,31.6228,-10.7107,4,NA,-2.2,-63.4648
16758786,-72.8574,-2.2,3.9811,-41.469,-2.2,5.0119,-24.0599,4,NA,-2.2,-57.1632
16745584,-72.42,-2.2,3.9811,-39.0895,-2.2,14.1254,-22.1047,4,NA,-2.2,-55.75475
16758781,-60.5289,-2.2,4.4668,-38.9098,-2.2,5.0119,-18.7333,4,NA,-2.2,-49.71935
6403467,-64.0296,-2.2,2.8184,-31.0382,-2.2,25.1189,-21.8018,4,NA,-2.2,-47.5339
16758780,-56.2667,-2.2,3.1623,-36.9638,-2.2,5.0119,-17.6998,4,NA,-2.2,-46.61525
16758787,-57.8093,-2.2,3.1623,-34.114,-2.2,2.8184,-12.0131,4,NA,-2.2,-45.96165
16758788,-59.6588,-2.2,3.1623,-31.6324,-2.2,0.7079,-15.2578,4,NA,-2.2,-45.6456
16758783,-59.0236,-2.2,3.1623,-30.9236,-2.2,3.5481,-23.4891,4,NA,-2.2,-44.973600000000005
16758785,-55.2131,-2.2,3.9811,-26.0064,-2.2,4.4668,-13.6493,4,NA,-2.2,-40.60975
5081119,-44.5455,-2.2,1.4125,-31.909300000000002,-2.2,35.4813,-24.4146,4,NA,-2.2,-38.2274
16759111,-40.1159,-2.2,3.9811,-29.4845,-2.2,3.1623,-13.139,4,NA,-2.2,-34.800200000000004
