PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES_1460,Fit_CurveClass_1460,Max_Response_1460,Potency_1460
3500086,CCN1C(=O)C(=C(C(=N1)[N+](=O)[O-])C(C#N)C2=NC3=C(S2)C=CC(=C3)C(F)(F)F)Cl,-1.1,-101.597,4.4668
12004742,CC/C(=C\C1=[N+](C2=C(S1)C=CC(=C2)OC)CCO)/C=C\3/N(C4=C(S3)C=CC(=C4)OC)CCO.[Cl-],-1.1,-101.545,1.122
708043,CC1=C(SC=C1)C=NC2=CC=C(C=C2)O,-1.1,-101.498,3.5481
135438671,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)O)O)O)C(=O)C(=C3)O)O,-1.1,-101.461,0.5012
379403,C1CCC2(CC1)N(C3=C([N+]2=O)C=CC(=C3)[N+](=O)[O-])[O-],-1.1,-101.279,3.5481
2851304,CN1C2=CC=CC=C2N=C1N=NC3=CC=C(C=C3)N(C)C,-1.1,-101.257,0.5012
5717050,C/C(=N\NC1=CC=C(C=C1)[N+](=O)[O-])/C2=CC(=CC=C2)N,-1.1,-101.099,3.5481
6241261,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C3=CC=C(C=C3)O,-1.1,-101.077,3.9811
470958,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NC3=CC=CC(=C3)C(=O)O,-1.1,-100.977,2.8184
15272053,CN1C2=CC=CC=C2[N+](=C1N=NC3=CC=C(C=C3)N4CCOCC4)C.C1=CC=C(C=C1)S(=O)(=O)[O-],-1.1,-100.929,1.0
135403797,C1=CC2=CC(=C(C(=C2C(=O)C(=C1)O)O)O)O,-1.1,-100.882,2.8184
5291804,C1=CC=C2C(=C1)N=C(S2)/C(=C/C3=CC(=C(C=C3)O)[N+](=O)[O-])/C#N,-1.1,-100.822,2.2387
5816637,CN(C)C1=C(C=C(C=C1)/C=C/C(=O)C2=CC=C(C=C2)O)[N+](=O)[O-],-1.1,-100.789,4.4668
4538344,C1COCCN1P(=O)(C(=NC2=CC=CC=C2)NNC3=CC=C(C=C3)Br)N4CCOCC4,-1.1,-100.745,3.1623
762757,C1=CC2=C(C(=C1)NNC(=S)N)N=CC=C2,-1.1,-100.593,3.5481
