PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES_1468,Fit_CurveClass_1468,Max_Response_1468,Potency_1468
4094710,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F,-1.1,-142.162,7.9433
2632862,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F,-1.1,-136.237,7.9433
15990719,CC(C)C1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC=C(C3=O)C(=O)NC4CCCCC4,-1.1,-118.207,3.5481
4282864,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)[O-])S(=O)(=O)[O-])O,-1.1,-116.454,3.1623
2809257,C1=CC(=CC(=C1)Cl)NC(=O)NC2=CC=C(C=C2)N3C=CC(=N3)C(F)(F)F,-1.1,-114.136,3.5481
1335373,C1=CC=C(C=C1)SCC2=NN=C(S2)NC(=O)NC3=CC(=C(C=C3)Cl)Cl,-1.1,-111.239,3.5481
3679708,C1=CC(=CC=C1NC(=O)NC2=CC(=CC(=C2)OCC(F)(F)F)OCC(F)(F)F)F,-1.1,-109.942,8.9125
265940,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NC3=CC4=C(C=C3)C=NN4,-1.1,-108.971,7.9433
2320670,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NS(=O)(=O)C3=CC=C(C=C3)[N+](=O)[O-],-1.1,-102.312,8.9125
15990676,CC1=CC(=CC(=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC=C(C3=O)C(=O)NC4CCCCC4)C,-1.1,-99.9853,7.9433
1380424,CCN(CC)C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,-1.1,-99.2386,5.0119
970535,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC=C(C=C2)OC(F)(F)F,-1.1,-97.8236,4.4668
15990621,CCC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC=C(C3=O)C(=O)NCC4=CC=C(C=C4)C,-1.1,-95.4136,3.5481
4124399,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)[O-])S(=O)(=O)[O-])O)OC)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)[O-])S(=O)(=O)[O-])O,-1.1,-95.0897,2.8184
3647406,CC1=CC=C(C=C1)CCNC(=O)C2=CNC3=C(C2=O)C=C(C=C3)S(=O)(=O)NC4=CC=CC(=C4)C(F)(F)F,-1.1,-95.0152,7.9433
5281650,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,-1.1,-93.5326,7.9433
323616,CCC(=O)NC1=C(C(=O)C(=C(C1=O)Cl)NC(=O)CC)Cl,-1.1,-92.4022,3.5481
6604861,CC1=C(C(=O)[C@@H]2[C@@H](C1=O)O2)O,-1.1,-91.7038,3.9811
470952,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NC3=CC=C(C=C3)C(=O)O,-1.1,-90.5305,3.5481
8371,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,-1.1,-88.489,1.4125
2939678,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],-1.1,-88.2,3.9811
10205,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,-1.1,-87.7466,3.1623
135614526,C1=CC(=C(C=C1S(=O)(=O)N)[N+](=O)[O-])N/N=C/C2=C(C(=C(C=C2)O)O)O,-1.1,-87.398,5.0119
135541149,C1=CC(=CN=C1)NC(=S)N/N=C/C2=C(C(=C(C=C2)O)O)O,-1.1,-80.4377,1.9953
16746634,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)N[C@@H](CC(C)C)C(=O)OCC3=CC=CC=C3,-1.1,-80.431,8.9125
4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,-1.1,-80.0456,3.5481
5317419,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=C(C(=C3COC(=O)/C=C/C(=O)O)O)C(=O)O)C)C=O)O,-1.2,-77.8943,3.5481
4069796,COC1=CC=C(C=C1)CNS(=O)(=O)C2=C(C=CC(=C2)C(=O)NC3=CC(=CC(=C3)Cl)Cl)F,-1.2,-77.868,3.5481
10667,C1=CC=C2C(=C1)C=CC(=O)C2=O,-1.2,-77.2554,4.4668
5461523,CC1(OCC(O1)CSC2=C(C(=O)C3=C(C2=O)C=CC=N3)SCC4COC(O4)(C)C)C,-1.2,-77.1814,1.7783
5280647,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O)O,-1.2,-77.1363,7.9433
262093,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,-1.2,-76.5599,2.5119
4696,C1C=C2C(=CC(=O)O2)C(O1)O,-1.2,-76.3034,1.9953
